CUSTNAME,GenderCode,ADDRESS1,CITY,STATE,COUNTRY_CODE,POSTAL_CODE,POSTAL_CODE_PLUS4,ADDRESS2,EMAIL_ADDRESS,PHONE_NUMBER,CREDITCARD_TYPE,LOCALITY,SALESMAN_ID,NATIONALITY,NATIONAL_ID,CREDITCARD_NUMBER,DRIVER_LICENSE,CUSTID,ORDER_ID,ORDER_DATE,ORDER_TIME,FREIGHT_CHARGES,ORDER_SALESMAN,ORDER_POSTED_DATE,ORDER_SHIP_DATE,AGE,ORDER_VALUE,T_TYPE,PURCHASE_TOUCHPOINT,PURCHASE_STATUS,ORDER_TYPE,GENERATION,Detergent Powder,Dettol,Geometry Sets,Handwash,Note Book,OZiva Protein,Pen,Pencil,Rechargeble Solor Light,Regular Rice 10 kg,Solar Cooker,Glucose solution 50%,Cerelac From 6 Months,Cerelac From 12 Months,Rice 5 kg,Milk Cereal,Veg Soup,Horlicks
Thomas Owens        ,Mr.,4030 Jessie Street,Adami,CZ,IT,88041,0,,Thomas.N.Owens@mailinator.com,0341 5536286,VISA,,WE352 ,FR,1.48E+14,4.62102E+15,,10015,8633,00:00.0,17:24.6,11.15,NC100 ,00:00.0,20-08-16,60,49.94,Cancelled,Phone,Occasional,LowValue,Baby_Boomers,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0
Anthony Carr        ,Mr.,2866 Quilly Lane,Agallas,,ES,37511,0,,Anthony.T.Carr@trashymail.com,91-635-1987,Discover,,SE208 ,IT,EOOIAI58A45B091X,6.01148E+15,,10019,792,00:00.0,47:56.4,9.22,SC259 ,00:00.0,20-02-16,53,28.35,Complete,Phone,Occasional,LowValue,Baby_Boomers,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Anthony Carr        ,Mr.,2866 Quilly Lane,Agallas,,ES,37511,0,,Anthony.T.Carr@trashymail.com,91-635-1987,Discover,,SE208 ,IT,EOOIAI58A45B091X,6.01153E+15,,10019,1257,00:00.0,47:24.6,13.33,SC193 ,00:00.0,20-08-16,53,29.82,Complete,Phone,Occasional,LowValue,Baby_Boomers,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Anthony Carr        ,Mr.,2866 Quilly Lane,Agallas,,ES,37511,0,,Anthony.T.Carr@trashymail.com,91-635-1987,Discover,,SE208 ,IT,EOOIAI58A45B091X,6.01108E+15,,10019,2488,00:00.0,13:54.6,2.87,SW277 ,00:00.0,27-03-16,53,14.36,Complete,Phone,Occasional,LowValue,Baby_Boomers,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0
Anthony Carr        ,Mr.,2866 Quilly Lane,Agallas,,ES,37511,0,,Anthony.T.Carr@trashymail.com,91-635-1987,Discover,,SE208 ,IT,EOOIAI58A45B091X,6.01111E+15,,10019,2836,00:00.0,29:06.2,6.05,NC298 ,00:00.0,27-07-16,53,9.06,In-Progress,Phone,Occasional,LowValue,Baby_Boomers,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0
Anthony Carr        ,Mr.,2866 Quilly Lane,Agallas,,ES,37511,0,,Anthony.T.Carr@trashymail.com,91-635-1987,Discover,,SE208 ,IT,EOOIAI58A45B091X,6.01194E+15,,10019,5456,00:00.0,50:44.9,23.37,RP253 ,00:00.0,10-03-16,53,36.5,Complete,Phone,Occasional,LowValue,Baby_Boomers,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Melvin Schmitz      ,Mr.,20 Rocky Road,Aigues,,ES,3569,0,,Melvin.B.Schmitz@dodgeit.com,91-102-2813,VISA,,SW409 ,IT,UAENZJ93C71L915W,4.17278E+15,,10027,139,00:00.0,33:44.8,24.08,NW184 ,00:00.0,20-12-16,32,10.11,Complete,Phone,Occasional,LowValue,Gen_Y,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0
Melvin Schmitz      ,Mr.,20 Rocky Road,Aigues,,ES,3569,0,,Melvin.B.Schmitz@dodgeit.com,91-102-2813,VISA,,SW409 ,IT,UAENZJ93C71L915W,4.23592E+15,,10027,831,00:00.0,33:59.5,7.02,SE265 ,00:00.0,25-11-16,32,42.16,Cancelled,Phone,Occasional,LowValue,Gen_Y,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Melvin Schmitz      ,Mr.,20 Rocky Road,Aigues,,ES,3569,0,,Melvin.B.Schmitz@dodgeit.com,91-102-2813,VISA,,SW409 ,IT,UAENZJ93C71L915W,4.98819E+15,,10027,6961,00:00.0,29:06.2,11.45,NC358 ,00:00.0,23-07-16,32,48.35,Abandoned,Phone,Occasional,LowValue,Gen_Y,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
Melvin Schmitz      ,Mr.,20 Rocky Road,Aigues,,ES,3569,0,,Melvin.B.Schmitz@dodgeit.com,91-102-2813,VISA,,SW409 ,IT,UAENZJ93C71L915W,4.64486E+15,,10027,8622,00:00.0,07:39.4,9.51,SC256 ,00:00.0,14-11-16,32,5.1,In-Progress,Phone,Occasional,LowValue,Gen_Y,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
John Hoffman        ,Mr.,1660 Lighthouse Drive,Akron,OH,US,44311,0,,John.D.Hoffman@trashymail.com,608-822-4333,American Express,,SW274 ,IT,RGQKFP86T41C178Z,3.77308E+14,,10031,1369,00:00.0,32:50.8,21.97,NW247 ,00:00.0,15-01-16,46,24.66,Complete,Phone,Occasional,LowValue,Gen_X,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0
Muriel Exley        ,Mrs.,2645 Kooter Lane,Alba Di Canazei,TN,IT,38030,0,,Muriel.J.Exley@trashymail.com,0326 8920950,Discover,,SW412 ,FR,2.67E+14,6.012E+15,,10035,5328,00:00.0,32:45.2,33.85,NE304 ,00:00.0,15-07-16,46,49.16,Complete,Phone,Occasional,LowValue,Gen_X,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
James Moyle         ,Mr.,288 Vineyard Drive,Albany,NY,US,12204,0,,James.O.Moyle@pookmail.com,614-241-8539,Master Card,,NW247 ,IT,MQRAXX73T01A895J,5.1552E+15,,10039,421,00:00.0,33:44.8,22.77,NE367 ,00:00.0,20-12-16,72,224.71,Complete,Desktop,Frequent,HighValue,Baby_Boomers,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
James Moyle         ,Mr.,288 Vineyard Drive,Albany,NY,US,12204,0,,James.O.Moyle@pookmail.com,614-241-8539,Master Card,,NW247 ,IT,MQRAXX73T01A895J,5.17976E+15,,10039,5317,00:00.0,34:16.6,5.85,NW115 ,00:00.0,19-12-16,72,235.6,Complete,Desktop,Frequent,HighValue,Baby_Boomers,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
James Moyle         ,Mr.,288 Vineyard Drive,Albany,NY,US,12204,0,,James.O.Moyle@pookmail.com,614-241-8539,Master Card,,NW247 ,IT,MQRAXX73T01A895J,5.12895E+15,,10039,5855,00:00.0,33:44.9,17.2,NW112 ,00:00.0,30-05-16,72,164.54,Complete,Desktop,Frequent,HighValue,Baby_Boomers,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Calvin Shupe        ,Mr.,3335 Willow Oaks Lane,Albosaggia,SO,IT,23100,0,,Calvin.M.Shupe@spambob.com,0331 4473271,VISA,,NE373 ,IT,RHFGBS20R46E848A,4.30857E+15,,10047,529,00:00.0,47:39.4,9,SC388 ,00:00.0,15-06-16,49,45.66,Complete,Phone,Occasional,LowValue,Gen_X,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Alfonso Frazier     ,Mr.,3783 Freed Drive,Albuquerque,NM,US,87109,0,,Alfonso.K.Frazier@pookmail.com,973-546-4321,American Express,,WE418 ,FR,1.76E+14,3.40583E+14,,10051,1352,00:00.0,27:55.6,13.33,SE271 ,00:00.0,10-09-16,47,18.99,Complete,Phone,Occasional,LowValue,Gen_X,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0
Alfonso Frazier     ,Mr.,3783 Freed Drive,Albuquerque,NM,US,87109,0,,Alfonso.K.Frazier@pookmail.com,973-546-4321,American Express,,WE418 ,FR,1.76E+14,3.78254E+14,,10051,3079,00:00.0,19:46.2,7.85,NW250 ,00:00.0,03-12-16,47,43.14,Complete,Phone,Occasional,LowValue,Gen_X,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0
Alfonso Frazier     ,Mr.,3783 Freed Drive,Albuquerque,NM,US,87109,0,,Alfonso.K.Frazier@pookmail.com,973-546-4321,American Express,,WE418 ,FR,1.76E+14,3.40232E+14,,10051,5296,00:00.0,44:16.6,48.52,NE178 ,00:00.0,20-12-16,47,27.45,Complete,Phone,Occasional,LowValue,Gen_X,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0
Alfonso Frazier     ,Mr.,3783 Freed Drive,Albuquerque,NM,US,87109,0,,Alfonso.K.Frazier@pookmail.com,973-546-4321,American Express,,WE418 ,FR,1.76E+14,3.45077E+14,,10051,5312,00:00.0,07:36.4,17.6,NC424 ,00:00.0,01-07-16,47,27.45,Complete,Phone,Occasional,LowValue,Gen_X,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0
Alfonso Frazier     ,Mr.,3783 Freed Drive,Albuquerque,NM,US,87109,0,,Alfonso.K.Frazier@pookmail.com,973-546-4321,American Express,,WE418 ,FR,1.76E+14,3.77264E+14,,10051,6481,00:00.0,32:45.1,17.87,RP190 ,00:00.0,15-06-16,47,28.6,Cancelled,Phone,Occasional,LowValue,Gen_X,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Alfonso Frazier     ,Mr.,3783 Freed Drive,Albuquerque,NM,US,87109,0,,Alfonso.K.Frazier@pookmail.com,973-546-4321,American Express,,WE418 ,FR,1.76E+14,3.7498E+14,,10051,6487,00:00.0,43:54.6,17.87,NW181 ,00:00.0,12-12-16,47,42.24,Complete,Phone,Occasional,LowValue,Gen_X,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alfonso Frazier     ,Mr.,3783 Freed Drive,Albuquerque,NM,US,87109,0,,Alfonso.K.Frazier@pookmail.com,973-546-4321,American Express,,WE418 ,FR,1.76E+14,3.4323E+14,,10051,7945,00:00.0,47:52.6,21.97,NE241 ,00:00.0,25-04-16,47,8.04,In-Progress,Phone,Occasional,LowValue,Gen_X,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Reda Fullilove      ,Mrs.,518 Crestview Terrace,Alcalali,,ES,3728,0,,Reda.J.Fullilove@dodgeit.com,91-102-2037,Diners Club,,SE205 ,IT,WHQPWH25A09H876D,3.605E+13,,10055,925,00:00.0,47:52.6,19.25,WE157 ,00:00.0,25-04-16,24,32.11,In-Progress,Phone,FirstTime,LowValue,Gen_Y,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0
Reda Fullilove      ,Mrs.,518 Crestview Terrace,Alcalali,,ES,3728,0,,Reda.J.Fullilove@dodgeit.com,91-102-2037,Diners Club,,SE205 ,IT,WHQPWH25A09H876D,3.64249E+13,,10055,1282,00:00.0,47:52.6,23.37,WE157 ,00:00.0,25-04-16,24,223.31,Complete,Phone,FirstTime,HighValue,Gen_Y,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Reda Fullilove      ,Mrs.,518 Crestview Terrace,Alcalali,,ES,3728,0,,Reda.J.Fullilove@dodgeit.com,91-102-2037,Diners Club,,SE205 ,IT,WHQPWH25A09H876D,3.62953E+13,,10055,4950,00:00.0,43:54.6,18.45,NE103 ,00:00.0,27-10-16,24,129.77,Complete,Phone,FirstTime,MediumValue,Gen_Y,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cecil Games         ,Mr.,3747 Abner Road,Aldearrubia,,ES,37340,0,,Cecil.A.Games@trashymail.com,91-103-1865,VISA,,WE421 ,FR,2.10E+14,4.62126E+15,,10059,1985,00:00.0,25:36.6,21.97,WE415 ,00:00.0,30-03-16,age-32,5.91,In-Progress,Phone,FirstTime,LowValue,Gen_Z,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Cecil Games         ,Mr.,3747 Abner Road,Aldearrubia,,ES,37340,0,,Cecil.A.Games@trashymail.com,91-103-1865,VISA,,WE421 ,FR,2.10E+14,4.69908E+15,,10059,3363,00:00.0,23:44.8,68.57,NW244 ,00:00.0,15-12-16,age-32,173.62,Complete,Phone,FirstTime,HighValue,Gen_Z,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Edward Turner       ,Mr.,3179 Stratford Drive,Alexandria,LA,US,71301,0,,Edward.C.Turner@mailinator.com,313-244-7595,Diners Club,,WE154 ,FR,7.54E+14,3.61394E+13,,10063,564,00:00.0,58:44.9,7.12,SW343 ,00:00.0,30-05-16,65,198.38,Cancelled,Desktop,Frequent,HighValue,Baby_Boomers,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1
Edward Turner       ,Mr.,3179 Stratford Drive,Alexandria,LA,US,71301,0,,Edward.C.Turner@mailinator.com,313-244-7595,Diners Club,,WE154 ,FR,7.54E+14,3.62541E+13,,10063,1506,00:00.0,34:16.6,22.77,SE403 ,00:00.0,09-09-16,65,242.23,Complete,Desktop,Frequent,HighValue,Baby_Boomers,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
Edward Turner       ,Mr.,3179 Stratford Drive,Alexandria,LA,US,71301,0,,Edward.C.Turner@mailinator.com,313-244-7595,Diners Club,,WE154 ,FR,7.54E+14,3.62374E+13,,10063,3586,00:00.0,34:16.6,11.45,NW115 ,00:00.0,19-12-16,65,270.16,Complete,Desktop,Frequent,HighValue,Baby_Boomers,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Amy Randle          ,Mrs.,4316 Nickel Road,Algaida,,ES,7210,0,,Amy.M.Randle@mailinator.com,91-271-2733,VISA,,NC292 ,U.S.,515250001,4.59416E+15,,10067,1042,00:00.0,57:35.6,27.99,SE334 ,00:00.0,10-09-16,28,57.87,Cancelled,Phone,Frequent,MediumValue,Gen_Y,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Amy Randle          ,Mrs.,4316 Nickel Road,Algaida,,ES,7210,0,,Amy.M.Randle@mailinator.com,91-271-2733,VISA,,NC292 ,U.S.,515250001,4.63068E+15,,10067,1239,00:00.0,29:06.2,7.85,SE208 ,00:00.0,03-01-16,28,9999999,Complete,Phone,Frequent,LowValue,Gen_Y,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
Rafael Middleton    ,Mr.,3020 Callison Lane,Allentown,MD,US,20222,0,,Rafael.G.Middleton@spambob.com,781-315-9600,JCB,,SC262 ,U.S.,530990002,3.52892E+15,,10075,670,00:00.0,39:06.2,11.85,SC130 ,00:00.0,27-02-16,73,142.54,Complete,Desktop,Frequent,MediumValue,Baby_Boomers,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1
Rafael Middleton    ,Mr.,3020 Callison Lane,Allentown,MD,US,20222,0,,Rafael.G.Middleton@spambob.com,781-315-9600,JCB,,SC262 ,U.S.,530990002,3.52868E+15,,10075,2231,00:00.0,47:56.4,9,WE220 ,00:00.0,25-12-16,73,197.81,Complete,Desktop,Frequent,HighValue,Baby_Boomers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Rafael Middleton    ,Mr.,3020 Callison Lane,Allentown,MD,US,20222,0,,Rafael.G.Middleton@spambob.com,781-315-9600,JCB,,SC262 ,U.S.,530990002,3.52816E+15,,10075,9068,00:00.0,07:36.4,16.27,NW379 ,00:00.0,01-03-16,73,179.38,Complete,Desktop,Frequent,HighValue,Baby_Boomers,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1
Earl Bruner         ,Mr.,3155 Single Street,Alma,QC,CA,G8B 2W5,0,,Earl.M.Bruner@pookmail.com,613-353-4540,American Express,,NE172 ,ES,5873675G,3.77233E+14,,10079,3545,00:00.0,57:39.4,6.37,SW142 ,00:00.0,30-04-16,19,20.37,Complete,Phone,Frequent,LowValue,Gen_Z,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
Linda Garcia        ,Mrs.,2306 Thrash Trail,Alpo,VR,IT,37060,0,,Linda.J.Garcia@mailinator.com,0317 2702530,JCB,,SE268 ,U.S.,22868164,3.5289E+15,,10083,1728,00:00.0,59:36.2,17.87,SC199 ,00:00.0,27-12-16,40,9999999,Complete,Phone,Occasional,LowValue,Gen_Y,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Quinn Perry         ,Master.,749 C Street,Amarillo,TX,US,79109,0,,Quinn.S.Perry@spambob.com,603-366-3347,American Express,,SC322 ,IT,FHGPMO74D11L254L,3.4364E+14,,10091,3359,00:00.0,59:36.2,68.57,SC199 ,00:00.0,27-12-16,40,24.08,Complete,Phone,Occasional,LowValue,Gen_Y,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
Quinn Perry         ,Master.,749 C Street,Amarillo,TX,US,79109,0,,Quinn.S.Perry@spambob.com,603-366-3347,American Express,,SC322 ,IT,FHGPMO74D11L254L,3.74897E+14,,10091,6717,00:00.0,13:54.6,13.25,SE400 ,00:00.0,07-03-16,40,5.2,Complete,Phone,Occasional,LowValue,Gen_Y,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Quinn Perry         ,Master.,749 C Street,Amarillo,TX,US,79109,0,,Quinn.S.Perry@spambob.com,603-366-3347,American Express,,SC322 ,IT,FHGPMO74D11L254L,3.41829E+14,,10091,7265,00:00.0,07:39.4,7.45,WE286 ,00:00.0,30-11-16,40,35.16,In-Progress,Phone,Occasional,LowValue,Gen_Y,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
Kristin Mendoza     ,Mrs.,2909 Frank Avenue,Anaheim,CA,US,92805,0,,Kristin.T.Mendoza@spambob.com,865-685-8215,Diners Club,,WE154 ,FR,7.00E+14,3.69803E+13,,10095,2162,00:00.0,43:54.6,8.99,SW340 ,00:00.0,27-02-16,age-55,35.36,Cancelled,Phone,Frequent,LowValue,Gen_Z,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0
Kristin Mendoza     ,Mrs.,2909 Frank Avenue,Anaheim,CA,US,92805,0,,Kristin.T.Mendoza@spambob.com,865-685-8215,Diners Club,,WE154 ,FR,7.00E+14,3.69443E+13,,10095,3305,00:00.0,27:55.6,33.99,SW217 ,00:00.0,10-06-16,age-55,24.92,Complete,Phone,Frequent,LowValue,Gen_Z,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Kristin Mendoza     ,Mrs.,2909 Frank Avenue,Anaheim,CA,US,92805,0,,Kristin.T.Mendoza@spambob.com,865-685-8215,Diners Club,,WE154 ,FR,7.00E+14,3.66242E+13,,10095,3967,00:00.0,43:54.6,11.88,NW316 ,00:00.0,12-12-16,age-55,281.82,Complete,Phone,Frequent,HighValue,Gen_Z,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Kristin Mendoza     ,Mrs.,2909 Frank Avenue,Anaheim,CA,US,92805,0,,Kristin.T.Mendoza@spambob.com,865-685-8215,Diners Club,,WE154 ,FR,7.00E+14,3.63092E+13,,10095,4382,00:00.0,29:06.2,19.85,NC358 ,00:00.0,23-07-16,age-55,6.33,Cancelled,Phone,Frequent,LowValue,Gen_Z,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
Kristin Mendoza     ,Mrs.,2909 Frank Avenue,Anaheim,CA,US,92805,0,,Kristin.T.Mendoza@spambob.com,865-685-8215,Diners Club,,WE154 ,FR,7.00E+14,3.65225E+13,,10095,6009,00:00.0,07:36.4,18.99,NW379 ,00:00.0,01-03-16,age-55,97.72,Complete,Phone,Frequent,MediumValue,Gen_Z,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Michael Gordon      ,Mr.,388 Kelly Drive,Ancona,AN,IT,60123,0,,Michael.S.Gordon@dodgeit.com,0373 6095994,Diners Club,,RP385 ,U.S.,316290001,3.62051E+13,,10099,5481,00:00.0,11:26.3,8.99,RP385 ,00:00.0,20-06-16,63,33.34,Complete,Phone,Occasional,LowValue,Baby_Boomers,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
Phyllis White       ,Mrs.,4738 Jerry Dove Drive,Angas Plains,SA,AU,5255,0,,Phyllis.J.White@pookmail.com,(02) 4024 5353,American Express,,WE151 ,IT,HCNFEA86A41E274E,3.77663E+14,,10103,2118,00:00.0,43:54.6,1.49,NE103 ,00:00.0,27-10-16,51,34.95,Complete,Phone,Occasional,LowValue,Gen_X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phyllis White       ,Mrs.,4738 Jerry Dove Drive,Angas Plains,SA,AU,5255,0,,Phyllis.J.White@pookmail.com,(02) 4024 5353,American Express,,WE151 ,IT,HCNFEA86A41E274E,3.71632E+14,,10103,3746,00:00.0,27:55.6,6.37,SW217 ,00:00.0,10-06-16,51,10.85,Complete,Phone,Occasional,LowValue,Gen_X,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Phyllis White       ,Mrs.,4738 Jerry Dove Drive,Angas Plains,SA,AU,5255,0,,Phyllis.J.White@pookmail.com,(02) 4024 5353,American Express,,WE151 ,IT,HCNFEA86A41E274E,3.4776E+14,,10103,4425,00:00.0,34:16.6,2.87,WE355 ,00:00.0,20-12-16,51,20.89,Complete,Phone,Occasional,LowValue,Gen_X,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0
Phyllis White       ,Mrs.,4738 Jerry Dove Drive,Angas Plains,SA,AU,5255,0,,Phyllis.J.White@pookmail.com,(02) 4024 5353,American Express,,WE151 ,IT,HCNFEA86A41E274E,3.45633E+14,,10103,4942,47:25.0,47:25.4,18.45,NE109 ,47:25.0,05-08-16,51,9999999,In-Progress,Phone,Occasional,LowValue,Gen_X,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Katherine Mullins   ,Mrs.,4245 Adamsville Road,Angwin,CA,US,94508,0,,Katherine.W.Mullins@spambob.com,503-688-0336,Diners Club,,NC424 ,ES,X6490143A,3.60254E+13,,10107,825,00:00.0,59:06.2,6.38,WE349 ,00:00.0,27-06-16,64,16.56,Complete,Phone,Occasional,LowValue,Baby_Boomers,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
